year_month,ADM1_EN,convergence_score,metric
2014-03,Northern Bahr el Ghazal,0,n_events_total
2014-04,Northern Bahr el Ghazal,0,n_events_total
2014-05,Northern Bahr el Ghazal,0,n_events_total
2014-07,Northern Bahr el Ghazal,0,n_events_total
2014-11,Northern Bahr el Ghazal,0,n_events_total
2014-12,Northern Bahr el Ghazal,0,n_events_total
2015-01,Northern Bahr el Ghazal,0,n_events_total
2015-02,Northern Bahr el Ghazal,0,n_events_total
2015-03,Northern Bahr el Ghazal,1,n_events_total
2015-04,Northern Bahr el Ghazal,3,n_events_total
2015-05,Northern Bahr el Ghazal,1,n_events_total
2015-06,Northern Bahr el Ghazal,1,n_events_total
2015-07,Northern Bahr el Ghazal,2,n_events_total
2015-08,Northern Bahr el Ghazal,1,n_events_total
2015-09,Northern Bahr el Ghazal,1,n_events_total
2015-10,Northern Bahr el Ghazal,0,n_events_total
2015-11,Northern Bahr el Ghazal,0,n_events_total
2015-12,Northern Bahr el Ghazal,1,n_events_total
2016-01,Northern Bahr el Ghazal,0,n_events_total
2016-02,Northern Bahr el Ghazal,3,n_events_total
2016-03,Northern Bahr el Ghazal,2,n_events_total
2016-04,Northern Bahr el Ghazal,1,n_events_total
2016-05,Northern Bahr el Ghazal,2,n_events_total
2016-06,Northern Bahr el Ghazal,1,n_events_total
2016-07,Northern Bahr el Ghazal,2,n_events_total
2016-08,Northern Bahr el Ghazal,1,n_events_total
2016-09,Northern Bahr el Ghazal,1,n_events_total
2016-10,Northern Bahr el Ghazal,1,n_events_total
2016-11,Northern Bahr el Ghazal,1,n_events_total
2016-12,Northern Bahr el Ghazal,1,n_events_total
2017-01,Northern Bahr el Ghazal,0,n_events_total
2017-02,Northern Bahr el Ghazal,1,n_events_total
2017-03,Northern Bahr el Ghazal,1,n_events_total
2017-04,Northern Bahr el Ghazal,1,n_events_total
2017-05,Northern Bahr el Ghazal,0,n_events_total
2017-06,Northern Bahr el Ghazal,2,n_events_total
2017-07,Northern Bahr el Ghazal,0,n_events_total
2017-08,Northern Bahr el Ghazal,1,n_events_total
2017-09,Northern Bahr el Ghazal,0,n_events_total
2017-10,Northern Bahr el Ghazal,1,n_events_total
2017-11,Northern Bahr el Ghazal,1,n_events_total
2017-12,Northern Bahr el Ghazal,2,n_events_total
2018-01,Northern Bahr el Ghazal,1,n_events_total
2018-02,Northern Bahr el Ghazal,0,n_events_total
2018-03,Northern Bahr el Ghazal,0,n_events_total
2018-04,Northern Bahr el Ghazal,0,n_events_total
2018-05,Northern Bahr el Ghazal,0,n_events_total
2018-06,Northern Bahr el Ghazal,0,n_events_total
2018-07,Northern Bahr el Ghazal,1,n_events_total
2018-08,Northern Bahr el Ghazal,1,n_events_total
2018-09,Northern Bahr el Ghazal,0,n_events_total
2018-10,Northern Bahr el Ghazal,0,n_events_total
2018-11,Northern Bahr el Ghazal,0,n_events_total
2018-12,Northern Bahr el Ghazal,0,n_events_total
2019-01,Northern Bahr el Ghazal,0,n_events_total
2019-02,Northern Bahr el Ghazal,0,n_events_total
2019-03,Northern Bahr el Ghazal,0,n_events_total
2019-04,Northern Bahr el Ghazal,0,n_events_total
2019-05,Northern Bahr el Ghazal,0,n_events_total
2019-06,Northern Bahr el Ghazal,0,n_events_total
2019-07,Northern Bahr el Ghazal,1,n_events_total
2019-08,Northern Bahr el Ghazal,0,n_events_total
2019-09,Northern Bahr el Ghazal,0,n_events_total
2019-10,Northern Bahr el Ghazal,0,n_events_total
2019-11,Northern Bahr el Ghazal,0,n_events_total
2019-12,Northern Bahr el Ghazal,0,n_events_total
2020-01,Northern Bahr el Ghazal,0,n_events_total
2020-02,Northern Bahr el Ghazal,1,n_events_total
2020-03,Northern Bahr el Ghazal,1,n_events_total
2020-04,Northern Bahr el Ghazal,0,n_events_total
2020-05,Northern Bahr el Ghazal,0,n_events_total
2020-06,Northern Bahr el Ghazal,0,n_events_total
2020-07,Northern Bahr el Ghazal,0,n_events_total
2020-08,Northern Bahr el Ghazal,0,n_events_total
2020-09,Northern Bahr el Ghazal,0,n_events_total
2020-10,Northern Bahr el Ghazal,0,n_events_total
2020-11,Northern Bahr el Ghazal,0,n_events_total
2020-12,Northern Bahr el Ghazal,0,n_events_total
2021-01,Northern Bahr el Ghazal,0,n_events_total
2021-02,Northern Bahr el Ghazal,0,n_events_total
2021-03,Northern Bahr el Ghazal,1,n_events_total
2021-04,Northern Bahr el Ghazal,0,n_events_total
2021-05,Northern Bahr el Ghazal,0,n_events_total
2021-06,Northern Bahr el Ghazal,0,n_events_total
2021-07,Northern Bahr el Ghazal,0,n_events_total
2021-08,Northern Bahr el Ghazal,0,n_events_total
2021-09,Northern Bahr el Ghazal,0,n_events_total
2021-10,Northern Bahr el Ghazal,0,n_events_total
2021-11,Northern Bahr el Ghazal,0,n_events_total
2021-12,Northern Bahr el Ghazal,1,n_events_total
2022-01,Northern Bahr el Ghazal,2,n_events_total
2022-02,Northern Bahr el Ghazal,1,n_events_total
2022-03,Northern Bahr el Ghazal,1,n_events_total
2022-04,Northern Bahr el Ghazal,0,n_events_total
2022-05,Northern Bahr el Ghazal,3,n_events_total
2022-06,Northern Bahr el Ghazal,0,n_events_total
2022-07,Northern Bahr el Ghazal,1,n_events_total
2022-08,Northern Bahr el Ghazal,0,n_events_total
2022-09,Northern Bahr el Ghazal,0,n_events_total
2022-10,Northern Bahr el Ghazal,0,n_events_total
2022-11,Northern Bahr el Ghazal,0,n_events_total
